0, 7, 138
0, 14, 170
0, 39, 234
64, 57, 150
255, 58, 84
255, 48, 30
255, 40, 15
255, 35, 6
255, 30, 1
255, 24, 0
0, 7, 138
0, 14, 170
0, 39, 234
64, 57, 150
255, 58, 84
255, 48, 30
255, 40, 15
255, 35, 6
255, 30, 1
255, 24, 0
0, 7, 138
0, 14, 170
0, 39, 234
64, 57, 150
255, 58, 84
255, 48, 30
255, 40, 15
255, 35, 6
255, 30, 1
255, 24, 0
0, 7, 138
0, 14, 170
0, 39, 234
64, 57, 150
255, 58, 84
255, 48, 30
255, 40, 15
255, 35, 6
255, 30, 1
255, 24, 0
0, 7, 138
0, 14, 170
0, 39, 234
64, 57, 150
255, 58, 84
255, 48, 30
255, 40, 15
255, 35, 6
255, 30, 1
255, 24, 0
255, 21, 0
255, 38, 0
255, 52, 0
83, 47, 4
2, 32, 9
0, 18, 14
0, 13, 15
0, 11, 17
0, 9, 19
0, 8, 20
255, 21, 0
255, 38, 0
255, 52, 0
83, 47, 4
2, 32, 9
0, 18, 14
0, 13, 15
0, 11, 17
0, 9, 19
0, 8, 20
255, 21, 0
255, 38, 0
255, 52, 0
83, 47, 4
2, 32, 9
0, 18, 14
0, 13, 15
0, 11, 17
0, 9, 19
0, 8, 20
255, 21, 0
255, 38, 0
255, 52, 0
83, 47, 4
2, 32, 9
0, 18, 14
0, 13, 15
0, 11, 17
0, 9, 19
0, 8, 20
255, 21, 0
255, 38, 0
255, 52, 0
83, 47, 4
2, 32, 9
0, 18, 14
0, 13, 15
0, 11, 17
0, 9, 19
0, 8, 20

Iterations: 8
